127.0.0.1 - - [24/Nov/2021:19:56:52 +0900] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [24/Nov/2021:19:57:02 +0900] "GET /mvc/ HTTP/1.1" 200 2440
0:0:0:0:0:0:0:1 - - [24/Nov/2021:19:57:02 +0900] "GET /mvc/css/style.css HTTP/1.1" 200 3066
0:0:0:0:0:0:0:1 - - [24/Nov/2021:19:57:02 +0900] "GET /mvc/js/jquery-3.6.0.js HTTP/1.1" 200 288580
0:0:0:0:0:0:0:1 - - [24/Nov/2021:19:57:02 +0900] "GET /mvc/images/Java-Servlets-JSP.png HTTP/1.1" 200 36466
0:0:0:0:0:0:0:1 - - [24/Nov/2021:19:57:07 +0900] "POST /mvc/member/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Nov/2021:19:57:07 +0900] "GET /mvc/ HTTP/1.1" 200 1484
0:0:0:0:0:0:0:1 - - [24/Nov/2021:20:03:55 +0900] "GET /mvc/board/boardList HTTP/1.1" 200 3266
0:0:0:0:0:0:0:1 - - [24/Nov/2021:20:03:55 +0900] "GET /mvc/css/board.css HTTP/1.1" 200 2735
0:0:0:0:0:0:0:1 - - [24/Nov/2021:20:03:55 +0900] "GET /mvc/images/file.png HTTP/1.1" 200 1136
0:0:0:0:0:0:0:1 - - [24/Nov/2021:20:03:57 +0900] "GET /mvc/board/boardView?no=301 HTTP/1.1" 200 5237
0:0:0:0:0:0:0:1 - - [24/Nov/2021:20:33:56 +0900] "GET /mvc/board/boardView?no=301 HTTP/1.1" 200 6308
